deviceId,deviceUnitId,deviceTypeId,siteId,tempRange,deviceName
6,IVISUSA1005D2,1,1006,15,FortyOneTen-Audio
7,IVISUSA1002D1,1,1002,15,Barbee-Audio
9,IVISUSA1002D2,1,1002,15,Barbee-video
12,IVISUSA1001D1,1,1001,15,Barbee-video1
24,IVISUSA1002D3,1,1002,15,Barbee-vid
25,IVISUSA1002D4,1,1002,15,Barbee-vid
26,IVISUSA1001D2,1,1001,15,ALS-Grocery
27,IVISUSA1001D3,1,1001,15,ALS-Grocery
28,IVISUSA1003D4,1,1016,15,Barbee-Audio-Device
29,IVISUSA1005D3,1,1006,15,Barbee-vid
30,IVISUSA1005D4,1,1006,15,Barbee-vid
31,IVISUSA1005D5,1,1006,15,Barbee-vid
32,IVISUSA1002D5,1,1002,15,Barbee-vid
33,IVISUSA1001D4,1,1001,15,Barbee-vid
34,IVISUSA1001D5,1,1001,15,ALS-Grocery
101,IVISUSA1003D1,1,1016,15,Barbee-Audio-Device
102,IVISUSA1003D2,2,1016,15,Barbee-Video-Device
103,IVISUSA1003D3,3,1016,15,Barbee-WiFi-Device
104,IVISUSA1005D1,2,1006,15,FortyOneTen-Video
105,IVISUSA1001DA1,2,1033,15,USA Office
106,IVISUSA1001DA2,2,1034,15,Chutneys-Entrance
107,IVISUSAA1101,2,1034,15,mangaligirioffice
108,IVISUSA1003D4,3,1016,15,Barbee QR Code
109,IVISUSA1003D4,3,1016,15,Barbee QR Code
110,IVISUSA1003D4,3,1016,15,Barbee QR Code
111,,3,1001,15,mangaligirioffice-qr
112,,3,1016,15,
113,,3,1027,15,
114,,3,1025,15,
